,Sa,Sq,Ssk,Sku,Ssm,Sdq,pente_x,pente_y,Rk,Mr1,Mr2,Rpk,Rvk,Pk_to_Vk
126_KFR_lisse_PFA_5.xyz,3.0061694892269313,3.8385549358528928,-0.4269257991357092,3.5035974056984442,174.3585361596864,0.12204113077341429,0.15483606198639477,0.076248731854717,9.489103990166171,0.09200925956035381,0.8845552728277837,7.080043475703149,13.985873204734634,6.168067672067193
126_KFR_lisse_PFA_4.xyz,2.498031547488459,3.146458921230781,-0.29457836453866376,3.07260373430671,166.63837457769026,0.10808226534255823,0.1364283815937032,0.06892640175492429,8.080984222336342,0.09774377550853154,0.8963073071186218,14.097057957218482,12.162131974285288,5.4438152795865555
126_KFR_lisse_PFA_3.xyz,2.72020377920359,3.4564830654478502,-0.3132619862953967,3.344676476402452,183.24241262010617,0.11030157402453218,0.13643280699752028,0.0756238298379293,8.720896950609118,0.0873635343332313,0.8927772676257524,8.963637012455084,11.178214093044643,5.4045202946500535
126_KFR_lisse_PFA_2.xyz,2.5954643023643627,3.3012480598044336,-0.37063706466595736,3.422224043758594,164.4544133124289,0.11000936166919811,0.1376147606821503,0.07256925624617748,8.127870155725038,0.08712172227323742,0.8746250382614018,6.76855392930157,13.460086572535019,5.6292595670621175
126_KFR_lisse_PFA_1.xyz,3.021355748255132,3.887423747414875,-0.4317914971140549,3.4643373267772755,177.16216123516395,0.12401832361736191,0.15699234144484606,0.07819522947972132,9.132805407177756,0.09581369248035915,0.8696592184470971,7.8412879732065885,12.354791544685133,6.020341034954158
28_KFB_lisse_2.xyz,1.579409248077585,2.024448160844176,-0.4932386198590887,3.6816263506232074,158.05724818596252,0.062221218039559066,0.08087321700139748,0.03467683261916488,5.075277413322481,0.08130263885275756,0.8958990472164413,5.656806747339242,8.637813930579732,3.4257776280016583
28_KFB_lisse_1.xyz,1.4153884236179262,1.7853863756397008,-0.02351574552690011,3.1046442131479615,148.9196547962957,0.05787511783622046,0.07528243614648716,0.03211873809729903,4.550272529386986,0.10695133149678604,0.9031629425568819,4.8235057561256225,6.087437209738781,2.8969827866557702
28_KFB_lisse_5.xyz,1.521515472057371,1.8698619595584618,-0.11303695919265967,2.6694972430506243,164.96117553922713,0.05699590340514029,0.07378995909740256,0.0324362135018843,5.192418112302944,0.07468160435345605,0.9058448343686997,4.11265045024015,4.290624223457157,3.211129650367446
28_KFB_lisse_4.xyz,1.484256258194394,1.874670435914993,0.022770391342750555,3.0279033334065852,150.7996857783147,0.05797919399699226,0.07534696012301324,0.03234206971272521,4.720230481353708,0.11566422509105101,0.9053821702653486,4.259063607081077,5.076758875359387,3.1408379622762945
28_KFB_lisse_3.xyz,1.615785092435109,2.041501822270359,-0.14400484469337108,3.3922426095910985,167.3374561893732,0.06023533676914346,0.07844101948062346,0.03322044632789724,5.302481375703121,0.10046297801768993,0.9156995886446411,4.342660147657272,6.23733630639295,3.6439747767046713
