,Sa,Sq,Ssk,Sku,Ssm,Sdq,pente_x,pente_y,Rk,Mr1,Mr2,Rpk,Rvk,Pk_to_Vk
PMMA-403PP.xyz,3.596047023185884,4.069023946670191,-0.5554963059927889,1.9971403654345485,493.66682755511033,0.05250511040626113,0.07271001578372331,0.015060771636209305,12.564608954089547,0.029581206501178712,0.9664840703450991,2.131981675491213,3.9197594637392026,11.844990401483283
PMMA-603PP.xyz,3.9072786855627633,4.336712425129586,-0.2722398742679558,1.601086149971245,493.62648135485256,0.05581077140424594,0.078192665394136,0.01075134819614174,12.611967446571779,0.023827213545327127,0.9567059971646701,2.126262157404825,2.6783942331722512,12.224045583318132
PMMA-II.xyz,3.6633461857955716,4.120043940180437,-0.1962179742809379,1.685454094803484,295.8561379924243,0.07195788379705333,0.10113769543745854,0.011271230753574885,13.020772694359685,0.031849811243750636,0.9791725334149576,1.5135753270605319,1.290327334438997,11.742149728447737
PMMA-III.xyz,3.2036454084165986,3.6707540103412497,0.7224135588611212,2.066136018875137,485.9006878075995,0.05125954230499328,0.07186223482083434,0.009534178579723395,11.565849090011397,0.01075688295350075,0.9509574442347705,1.048384707904222,1.6820031324883287,10.772682742034778
PMMA-IV.xyz,7.804138153915944,8.654760438781421,0.5748755427981709,1.6963934037899362,495.8361771612164,0.1009231916110291,0.1421955595515253,0.012304635457485561,24.49446493983738,0.013270955307172464,0.961717351333043,1.2547544550706924,1.5400272992952555,23.091460876422563
PMMA-IX.xyz,0.603002894896637,0.7269065410671937,0.1582847955215025,2.431681990569801,137.39677363482306,0.02694317833575356,0.03651115076410717,0.010899797591931505,2.0763338246561545,0.09855183787358268,0.9388417122304479,0.6853679676352886,2.3466336858773253,1.816714271367289
PMMA-V.xyz,2.9165463361111312,3.29161470765827,0.540101899908782,1.8119176174283842,493.4612484903791,0.04007578240134385,0.05585405763177248,0.009615659947521078,10.119716977901197,0.008562057476051644,0.9630279050395668,0.9945630328511008,0.9449661843110144,9.300108845406005
PMMA-VI.xyz,7.569648367981065,8.224958011515506,0.13493142398862876,1.3965459331149834,499.73723969182026,0.0906623637575924,0.12764125433080634,0.01212594726553027,22.89526227473982,0.013464571409989596,0.9682784859521333,0.8964559382963113,2.091924820988792,21.71681325714501
PMMA-VII.xyz,0.513734102621617,0.6343760896013368,-0.04901172922956322,2.789441426846062,130.96133183415554,0.023098593939226086,0.03156709008021337,0.008402910674653102,1.7660161725405088,0.08239079362597665,0.917599948981481,0.6382838629749694,1.3459780650806235,1.3666195750451515
PMMA-VIII.xyz,2.3970299238763717,2.7481668123642877,-0.40515446608178163,1.9187403668972085,301.51648644854924,0.047422535678056335,0.0661116111423799,0.01127158606549238,8.938118768054657,0.03064711763838122,0.9789190939041781,1.7870139703923051,2.2053310533846213,7.647884633246123
PMMA-X.xyz,1.2661619795546069,1.5088352354635806,-0.015506511099897105,2.1426170115008096,228.24638306731188,0.03313143044920815,0.04599961033305336,0.008911805104786768,4.6703003376200565,0.05286827283328785,0.9389509879330737,1.624163222392197,2.051009147567883,4.140541936704583
PMMA-XI.xyz,2.8256352246205796,3.155755187869282,-0.12501885011749594,1.6166837630776005,488.9632612503653,0.039032042990373224,0.054488186536536726,0.008833928229517502,9.688433873886432,0.029682671116296768,0.9669936977513477,1.090495071565412,1.721776012677073,9.174397446979434
PMMA-XII.xyz,6.128158017034931,6.655236977736623,-0.22633155634647922,1.4754805646243514,503.94282089516133,0.075707828497685,0.10644185257156483,0.011553467566190974,19.17423719317223,0.02511320401925078,0.9660723286290324,2.0254877476881106,2.4950495153071284,17.846678800744964
PMMA-XIII.xyz,0.4152458924768514,0.5230455505091759,-0.06631429024597404,3.281615523328447,135.24051214530596,0.018340579502723213,0.02499134797750319,0.00694163087889072,1.3482472394530338,0.10601509613335738,0.9083424166926192,0.6216142141362986,1.901136770701431,0.9188096147140802
PMMA-XIV.xyz,1.7967192107471426,2.156778291831176,-0.6684967455160051,2.4711987098942716,284.95534664108243,0.051126229578791614,0.07175959074802553,0.008851205429911947,6.786158009122051,0.06908399999999999,0.956716,2.0773757609977643,2.062454481895819,6.515329893698355
PMMA-XIX.xyz,2.7992436949759933,3.088704454209084,0.0603792747778409,1.510279551133464,500.3747646752593,0.03575259442919707,0.050004429179917265,0.007486860438658236,9.301253510868275,0.01744805215920916,0.9751601521852238,0.7472539647798948,0.9159987511675158,8.592145489347612
PMMA-XV.xyz,3.013479260588653,3.258299294499114,0.18910087445146584,1.4220858495143462,485.6388787650015,0.04153741049397378,0.05817395961962395,0.008154959427497459,9.18264472081825,0.028662779262076086,0.964151805471324,0.8490414262476618,1.3470694784905133,8.918250869685744
PMMA-XVI.xyz,5.667697141144752,6.1242480722734465,0.163484112988268,1.3753397726361958,504.8821138162443,0.06717999789139897,0.09456653703574476,0.009136427444239722,16.868748275989358,0.026135495252341313,0.9759040062434965,1.2383633988750322,1.2106452012992657,16.01730260821014
PMMA-XVII.xyz,0.4833051261114455,0.6156659120952224,-0.04457605140728592,3.407549358924978,147.41287120408495,0.018676833310294697,0.02513357936734426,0.008121046311065725,1.514256309208854,0.11139237653460965,0.8997770820698585,0.8471192900483914,3.1845092111407713,1.0390209833460382
PMMA-XVIII.xyz,1.527643101601948,1.7967652124978353,-0.41938733141342593,2.0515158962298163,279.52524173594117,0.0366489946109257,0.05119585356782111,0.00807973944168629,6.0581075890748695,0.03627231228179449,0.9816389794948286,0.83772063319251,1.2305305844670125,5.360194411287514
PMMA-XX.xyz,4.7284864515145975,5.201843124623657,-0.2101006669876613,1.5190122020947145,493.3179543757144,0.058398905595275996,0.08209424717817249,0.00902213553993913,15.414871508427755,0.024706,0.981837,1.3082905168216055,2.1976557357511872,14.296607981330057
PMMA-I.xyz,0.8592987206976354,1.0217013943520674,0.2809668904486271,2.224521808317006,142.7083335240272,0.035019477062322224,0.04869650070721494,0.009020995860171948,2.788896450646019,0.13360409665681433,0.9493367598632199,1.0902976067408272,0.9736663954472828,2.4921901544853053
"28_KFB_lisse_x2,5_N3.xyz",1.4157641286692022,1.7903055380024777,-0.4225596894875696,3.462098012785501,146.46764194016575,0.061695137727759225,0.07937056163655222,0.03623387895316517,4.6542042793096146,0.08282289309296424,0.9009934860673093,1.4538758645263874,7.5064697086341745,3.28766572647191
28_lisseKFR_nue_x2.5_1.xyz,1.2481964418495277,1.5840251044516307,-0.18114253643984354,3.1859195792280413,130.86599244946694,0.05889917798635395,0.0761779694962166,0.03369188772345501,3.9315876984185576,0.09328506248760168,0.8805640685157221,1.8909303781286808,5.302380430500822,2.792296594939465
